"Логин";"Компьютер";"IP-адрес";"Открыта";"Активность";"Используется";"Приложение";"Уровень доступа";"Тип входа";"Тип лицензии";"Тип сервиса";"Устройство";"ОС"
ALMAZ-ANTEY\tessa;tapps.almaz-antey.org;::1;08.12.2020 22:39:10;09.12.2020 23:12:40;да;Tessa Admin;Администратор;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows Server 2012 R2 Standard x64
ALMAZ-ANTEY\tessa;tapps.almaz-antey.org;::1;08.12.2020 22:39:05;09.12.2020 23:02:05;да;Tessa Client;Администратор;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows Server 2012 R2 Standard x64
ALMAZ-ANTEY\tessa;tapps.almaz-antey.org;::1;27.11.2020 10:43:43;03.12.2020 10:14:47;нет;Tessa Admin;Администратор;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows Server 2012 R2 Standard x64
ALMAZ-ANTEY\tessa;tapps.almaz-antey.org;::1;26.11.2020 22:51:13;03.12.2020 11:32:57;нет;Tessa Client;Администратор;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows Server 2012 R2 Standard x64
ALMAZ-ANTEY\uliayza;16656-KRAF.almaz-antey.org;10.250.10.64;10.12.2020 08:28:11;10.12.2020 14:07:08;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\elenaak;RUA21501MW-COMP.almaz-antey.org;10.250.14.63;10.12.2020 08:56:32;10.12.2020 14:26:43;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\olegal;240316-09KRAF.almaz-antey.org;10.250.76.47;02.12.2020 15:11:01;02.12.2020 16:37:49;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\olegal;240316-09KRAF.almaz-antey.org;10.250.76.47;10.12.2020 12:44:23;10.12.2020 14:29:31;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\aasriyan;p1108150250-170.almaz-antey.org;10.250.64.21;07.12.2020 14:21:29;07.12.2020 17:46:38;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\sergeyast;czc43215lz-comp.almaz-antey.org;10.250.10.145;10.12.2020 09:12:43;10.12.2020 14:28:47;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\k.badmaeva;10.250.13.133;10.250.13.133;10.12.2020 12:19:32;10.12.2020 14:30:42;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\sbarmin;czc43116ns-comp.almaz-antey.org;10.250.15.200;10.12.2020 08:59:27;10.12.2020 08:59:34;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\vgbarysheva;18797-KRAF.almaz-antey.org;10.250.8.79;10.12.2020 10:21:02;10.12.2020 14:31:10;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\aleksba;RUA3280578-COMP.almaz-antey.org;10.250.14.115;02.12.2020 17:35:00;07.12.2020 10:20:29;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\b.bevza;10.250.0.24;10.250.0.24;07.12.2020 08:40:05;07.12.2020 14:45:13;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Домашняя для одного языка x64
ALMAZ-ANTEY\b.bevza;10.250.0.6;10.250.0.6;05.12.2020 09:18:23;05.12.2020 11:53:39;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Домашняя для одного языка x64
