"Рег. номер";"Дата рег.";"Проект. номер";"Дата создания";"Состояние";"Куратор";"Структ. подразделение";"ЦФО";"Вид платежа";"Сумма в валюте";"Валюта";"НДС%";"Получатель";"Банк получателя";"Основание для платежа";"Назначение платежа";"Банк отправителя";"ID закупки";"Аванс/Расчет";"Проект ДЭ";"Проект";"№ п/п";"Дата платежа"
;;1010;11.08.2020;На согласовании с руководителем СП;Мухортов Д. П. (ДИТС);Департамент информационных технологий и связи;25;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"892 051,30";RUB;20%;ВКО СИМВОЛ;БАНК ВТБ (ПАО);"Выполнение работ по 1 этапу: проектирование системы; создание дизайна и верстка; разработка структуры базы данных, согл. дог. №25/398 от 29.04.2020";"Выполнение работ по 1 этапу: проектирование системы; создание дизайна и верстка; разработка структуры базы данных, согл. дог. №25/398 от 29.04.2020";;000011434;Расчет;;;;
;;1009;11.08.2020;На согласовании с руководителем СП;Сергеев В. В. (ДИТС);Департамент информационных технологий и связи;25;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"149 850,00";RUB;20%;ЭЛЕКТРОН;ПАО СБЕРБАНК;Закупка смартфонов по счету № 45385 от 11.08.2020 г.;Закупка смартфонов по счету № 45385 от 11.08.2020 г.;;000013090;Аванс;;;;
;;1007;11.08.2020;На согласовании с руководителем СП;Макаров Д. В. (ДЗП ПВН);Департамент заказов и поставок продукции военного назначения;02;Платежи по ВТС;"54 085,18";USD;Без НДС;ИЭМЗ КУПОЛ;УДМУРТСКОЕ ОТДЕЛЕНИЕ N8618 ПАО СБЕРБАНК;"Окончательный расчет АО ""ИЭМЗ ""Купол""за выполненные работы по договору № АА-012/02-1981 от 30.10.2019. Счет № Ф1820 от 21.07.2020.";Окончательный расчет за выполненные работы по договору № АА-012/02-1981 от 30.10.2019. Счет № Ф1820 от 21.07.2020.;;;Расчет;;;;
;;1006;11.08.2020;На согласовании с руководителем СП;Абрамова Н. А. (ДОД);Департамент обеспечения деятельности;ДОД;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"11 840,00";RUB;20%;СПЕЦРЕМТЕХ;"ТОЧКА ПАО БАНКА ""ФК ОТКРЫТИЕ""";"ООО ""Спецремтех"" оплата за ремонт воздуходувки на основании счета № 258 от 09.07.2020";оплата за ремонт воздуходувки на основании счета № 258 от 09.07.2020;;000012813;Расчет;;;;
;;1005;11.08.2020;На согласовании с согласующими СП;Линов Д. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"1 527 453,43";RUB;20%;НТЦ ПРОМТЕХАЭРО;ПАО СБЕРБАНК;Аванс 50 % по договору от 07.08.2020 № 200/2-4/2020 на разработку проекта оснащения и сметной документации на создание ОПСС НУ ЦСИАФС Тюменского УЦ ЕС ОрВД согласно счету № 276 от 07.08.2020;Аванс 50 % по договору от 07.08.2020 № 200/2-4/2020  согласно счету № 276 от 07.08.2020;;000012774;Аванс;;;;
;;1004;11.08.2020;На согласовании с согласующими СП;Линов Д. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"8 977 357,39";RUB;20%;ИНСТРОЙ;"ПАО ""ПРОМСВЯЗЬБАНК""";"Аванс 50 % по договору от 05.08.2020 № 19-406/з-п на оснащение центра планирования ИВП УЦ ЕС ОрВД Якутск оборудованием ПАК ""Ассистент"" согласно счету № 26 от 05.08.2020";Аванс 50 % по договору от 05.08.2020 № 19-406/з-п согласно счету № 26 от 05.08.2020;;000012828;Аванс;;;;
;;1003;11.08.2020;На согласовании с согласующими СП;Линов Д. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"14 314 055,11";RUB;20%;ИНСТРОЙ;"ПАО ""ПРОМСВЯЗЬБАНК""";"Аванс 50 % по договору от 05.08.2020 № 19-405/з-п на оснащение класса инструктажей и разборов УЦ ЕС ОрВД Якутск оборудованием ПАК ""Ассистент"" согласно счету № 27 от 05.08.2020";Аванс 50 % по договору от 05.08.2020 № 19-405/з-п  согласно счету № 27 от 05.08.2020;;000012826;Аванс;;;;
;;1002;11.08.2020;На согласовании с согласующими СП;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"3 878 838,79";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";окончательный расчет по этапу 6 (поставка оборудования) договора № 15/408 от 20.08.2019 согласно счета № 625 от 16.07.2020;окончательный расчет по этапу 6 (поставка оборудования) договора № 15/408 от 20.08.2019 согласно счета № 625 от 16.07.2020;;000006968;Расчет;;;;
;;1001;11.08.2020;На согласовании с руководителем СП;Зыков А. И. (ДЗП ПВН);Департамент заказов и поставок продукции военного назначения;02;Платежи по ВТС;"694 252,77";USD;20%;ДНПП;ПАО СБЕРБАНК;"Второй платёж за изготовление и поставку Имущества по п. 5.5.2. договора № АА-012/02-1821 от 22.03.2019, счёт № 524у от 10.08.2020";"Второй платёж за изготовление и поставку Имущества по п. 5.5.2. договора № АА-012/02-1821 от 22.03.2019, счёт № 524у от 10.08.2020";;;Расчет;;;;
;;1000;11.08.2020;На согласовании с руководителем СП;Ухварёнок В. П. (ДЗП ПВН);Департамент заказов и поставок продукции военного назначения;02;Платежи по ВТС;"12 641 746,21";USD;20%;УМЗ;УЛЬЯНОВСКОЕ ОТДЕЛЕНИЕ N8588 ПАО СБЕРБАНК;"Второй платеж за изготовление  и поставку  второй части Имущества по п. 5.6.2.1  по доп. соглашению № 2 от 05.12.2019 к договору № АА-012/02-1804 от  14.03.2019 в рублях по курсу США, установленному ЦБ РФ на 10.12.2019= 63,7244. Счет № 0400/67 от 10.08.2020";"Второй платеж за изготовление  и поставку  второй части Имущества по п. 5.6.2.1  по доп. соглашению № 2 от 05.12.2019 к договору № АА-012/02-1804 от  14.03.2019 в рублях по курсу США, установленному ЦБ РФ.";;;Расчет;;;;
;;999;11.08.2020;На согласовании с руководителем СП;Ухварёнок В. П. (ДЗП ПВН);Департамент заказов и поставок продукции военного назначения;02;Платежи по ВТС;"4 972 296,22";USD;20%;УМЗ;УЛЬЯНОВСКОЕ ОТДЕЛЕНИЕ N8588 ПАО СБЕРБАНК;"Второй платеж за изготовление  и поставку  первой части ИМущества по п. 5.6.2.1  по доп. соглашению № 2 от 05.12.2019 к договору № АА-012/02-1804 от  14.03.2019 в рублях по курсу США, установленному ЦБ РФ на 10.12.2019= 63,7244. Счет № 0400/66 от 10.08.2020";Второй платеж за изготовление и поставку первой части  ИМущества  по п.5.6.2.1 по доп.соглашению № 2 от 05.12.2019 к договору № АА-012/02-1804 от 14.03.2019. Счет № 0400/66 от 10.08.2020;;;Расчет;;;;
;;998;11.08.2020;На согласовании с руководителем СП;Ухварёнок В. П. (ДЗП ПВН);Департамент заказов и поставок продукции военного назначения;02;Платежи по ВТС;"2 432 100,00";RUB;20%;ТРАНСТЕХ;СЕВЕРО-ЗАПАДНЫЙ БАНК ПАО СБЕРБАНК;Аванс на оказание услуг по лингвистическому сопровождению  работ по поверке КИП на территории заказчика 012 по дополнительному соглашению №78 от 14.07.2020. Счет № 200810-0001 от 10.08.2020;Аванс на оказание услуг по лингвистическому сопровождению  работ  по поверке КИП на территории заказчика 012 по дополнительному соглашению №78 от 14.07.2020. Счет № 200810-0001 от 10.08.2020;;;Аванс;;;;
;;997;11.08.2020;На согласовании с руководителем СП;Макаров Д. В. (ДЗП ПВН);Департамент заказов и поставок продукции военного назначения;02;Платежи по ВТС;"7 982,56";USD;Без НДС;ИЭМЗ КУПОЛ;УДМУРТСКОЕ ОТДЕЛЕНИЕ N8618 ПАО СБЕРБАНК;Окончательный расчет за выполненные работы по договору №АА-012/02-1980 от 30.10.2019. Счет № Ф1819 от 21.07.2020;Окончательный расчет за выполненные работы по договору №АА-012/02-1980 от 30.10.2019. Счет № Ф1819 от 21.07.2020;;;Расчет;;;;
;;996;10.08.2020;Проект;Абрамова Н. А. (ДОД);Департамент обеспечения деятельности;Департамент обеспечения деятельности;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"39 157,61";RUB;0%;НПО АЛМАЗ;ПАО СБЕРБАНК;"ПАО НПО ""Алмаз"" за возмещение коммунальных и эксплуатационных затрат в апреле 2020 по Договору №21Н-А/164 от 22.05.2020 на  основании счета №122/3 от 30.07.2020";за возмещение коммунальных и эксплуатационных затрат в апреле 2020 по Договору №21Н-А/164 от 22.05.2020 на  основании счета №122/3 от 30.07.2020;;000013041;Расчет;;;;
;;995;10.08.2020;Проект;Абрамова Н. А. (ДОД);Департамент обеспечения деятельности;Департамент обеспечения деятельности;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"10 059,20";RUB;0%;НПО АЛМАЗ;ПАО СБЕРБАНК;"ПАО НПО ""Алмаз""  Возмещение коммунальных и эксплуатационных затрат в апреле 2020 по Договору №11А-А/110 от 31.07.2015 на  основании счета №105/5 от 30.07.2020";Возмещение коммунальных и эксплуатационных затрат в апреле 2020 по Договору №11А-А/110 от 31.07.2015 на  основании счета №105/5 от 30.07.2020;;000013043;Расчет;;;;
