"ФГУП ""Госкорпорация по ОрВД""";19109;8321621;02.09.2020 20:00;Контрагент ожидает проверки. Состояние  InWork;System
ИП Москвин Павел Дмитриевич ;19112;8326724;04.09.2020 11:58;Контрагент ожидает проверки. Состояние  InWork;Щербак А. А. (АГД)
Воинская часть 51857;19113;8329844;04.09.2020 20:00;Контрагент ожидает проверки. Состояние  InWork;System
МОСЧИП ООО;19114;8329843;04.09.2020 20:00;Контрагент ожидает проверки. Состояние  InWork;System
"Филиал ""Сев Уралаэронавигация"" ФГУП ""Госкорпорация по ОрВД""";19115;8329845;04.09.2020 20:00;Контрагент ожидает проверки. Состояние  InWork;System
Институт физики металлов им. М.Н.Михеева Уральского отделения РАН;19116;8329847;04.09.2020 20:00;Контрагент ожидает проверки. Состояние  InWork;System
Совместное венесуэльско-российское предприятие Petromonagas;19117;8329846;04.09.2020 20:00;Контрагент ожидает проверки. Состояние  InWork;System
Клио-Софт;19118;8338153;07.09.2020 11:40;Контрагент ожидает проверки. Состояние  InWork;Левченко Т. С. (ДПТП)
Научно-производственный центр 1С ООО;19119;8340587;07.09.2020 20:00;Контрагент ожидает проверки. Состояние  InWork;System
Балтик Инжиниринг Групп ООО;19120;8340589;07.09.2020 20:00;Контрагент ожидает проверки. Состояние  InWork;System
Научно-исследовательский институт Центрпрограммсистем ЗАО;19121;8340586;07.09.2020 20:00;Контрагент ожидает проверки. Состояние  InWork;System
"УФК по г. Москве (ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 43753"" л/с 04731725950)";19122;8340588;07.09.2020 20:00;Контрагент ожидает проверки. Состояние  InWork;System
Улан-Удэнский ЛО МВД России на транспорте;19123;8344010;08.09.2020 20:00;Контрагент ожидает проверки. Состояние  InWork;System
АКСМА ООО;19124;8344009;08.09.2020 20:00;Контрагент ожидает проверки. Состояние  InWork;System
ГК Строй-Белогорье ООО;19125;8344008;08.09.2020 20:00;Контрагент ожидает проверки. Состояние  InWork;System
ИП Павлов Николай Владимирович;19126;8344007;08.09.2020 20:00;Контрагент ожидает проверки. Состояние  InWork;System
